0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,161508,160536,167406,162045,160285,161710,160053,160498,167860,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,161134,163646,169708,161588,165820,169514,160079,166310,166308,166296,166291,166287,166361,166441,166412,164733,166391,166236,166218,166507,166076,166056,166055,166054,166042,165965,165963,166107,166209,166171,166132,166131,166123,166121,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,159794,161766,161927,159773,161851,163694,162409,161508,162045,160285,161710,160053,160498,167860,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,161134,169708,161588,165820,160079,166310,166308,166296,166291,166361,166441,166412,164733,166391,166236,166507,166076,166056,166055,166042,165965,166123,166121,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,159794,161766,161927,159773,161851,163694,161508,162045,160285,161710,160053,160498,163990,159922,166264,160418,160319,160077,169731,165784,162068,161134,169708,161588,165820,160079,166296,166291,166361,166441,166412,164733,166391,166507,166056,165965,166123,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,163603,159794,161766,161927,159773,161851,163694,162409,161508,162045,160285,161710,160053,160498,167860,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,161134,169708,161588,165820,160079,166310,166308,166296,166291,166361,166441,166412,164733,166391,166236,166507,166076,166056,166055,166042,165965,166171,166123,166121,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,164336,161134,163646,169708,161588,165820,169514,165631,160079,164738,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166391,166236,166218,166507,166091,166089,166076,166056,166055,166054,166042,165974,165965,165963,166107,166209,166201,166171,166158,166132,166131,166123,166121,166108,164706,166889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,164336,161134,163646,169708,161588,165820,169514,165631,160079,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166391,166236,166218,166507,166091,166089,166076,166056,166055,166054,166042,165974,165965,165963,166107,166209,166171,166158,166132,166131,166123,166121,166108,164706,166889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,164336,161134,163646,169708,161588,165820,169514,160079,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166391,166236,166218,166507,166076,166056,166055,166054,166042,165974,165965,165963,166107,166209,166171,166158,166132,166131,166123,166121,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,163603,159794,161766,161927,159773,161851,163694,164371,162409,161508,160536,167406,162045,160285,161710,160053,160498,167860,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,161134,163646,169708,161588,165820,169514,160079,166310,166308,166296,166291,166287,166361,166441,166412,164733,166391,166236,166218,166507,166076,166056,166055,166042,165965,166107,166209,166171,166132,166131,166123,166121,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160513,165371,161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,159813,159832,160395,161508,160536,161149,167406,162045,159765,160285,161710,160053,160498,161011,160952,167860,161699,163990,159922,166264,160418,160622,160319,160017,160077,169731,165784,165024,168798,162068,160061,164336,161134,165646,163646,169708,161588,167130,160308,165820,164526,169514,165631,162647,162902,166034,160079,164967,164737,166341,166328,164738,166362,166310,166308,166303,166296,166291,166287,166256,166361,166372,164734,166503,166475,166441,166437,166426,166419,166412,166400,164733,166392,166391,166382,166236,166251,166218,166507,166041,166091,166089,166076,166056,166055,166054,166042,164766,166035,165975,165974,165965,165963,165961,166098,166106,166107,166215,166209,166201,166171,166170,166160,166158,166132,166131,166130,166123,166121,166110,166108,166504,164706,166511,166843,166889
161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,164336,161134,163646,169708,161588,165820,169514,165631,160079,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166391,166236,166218,166507,166091,166076,166056,166055,166054,166042,165974,165965,165963,166107,166209,166171,166158,166132,166131,166123,166121,164706,166889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160513,165371,161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,159813,159832,160395,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160622,160319,160017,160077,169731,165784,165024,162068,160061,164336,161134,163646,169708,161588,167130,160308,165820,169514,165631,160079,164967,166341,166328,164738,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166392,166391,166382,166236,166218,166507,166091,166089,166076,166056,166055,166054,166042,165974,165965,165963,166106,166107,166215,166209,166201,166171,166160,166158,166132,166131,166123,166121,166110,166108,166504,164706,166511,166843,166889,,,,,,,,,,,,,,,,,,,,,,,,,,
165371,161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,159832,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160622,160319,160017,160077,169731,165784,165024,162068,160061,164336,161134,163646,169708,161588,160308,165820,169514,165631,160079,164967,166341,164738,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166391,166236,166218,166507,166091,166089,166076,166056,166055,166054,166042,165974,165965,165963,166106,166107,166209,166201,166171,166160,166158,166132,166131,166123,166121,166110,166108,164706,166843,166889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165371,161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,159832,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160622,160319,160017,160077,169731,165784,162068,160061,164336,161134,163646,169708,161588,160308,165820,169514,165631,160079,164967,166341,164738,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166391,166236,166218,166507,166091,166089,166076,166056,166055,166054,166042,165974,165965,165963,166106,166107,166209,166201,166171,166160,166158,166132,166131,166123,166121,166110,166108,164706,166843,166889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,159794,161766,161927,159773,161851,163694,161508,162045,160285,161710,160053,160498,163990,159922,166264,160418,160319,160077,165784,162068,161134,169708,161588,165820,160079,166296,166291,166361,166441,166412,164733,166391,166056,165965,166123,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,159794,161766,161927,159773,161851,163694,161508,162045,160285,161710,160053,160498,163990,159922,166264,160418,160319,160077,165784,162068,161134,169708,161588,165820,160079,166296,166291,166361,166441,166412,164733,166391,166056,165965,166123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160513,165371,161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,159813,159832,160395,161508,160536,167406,162045,159765,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160622,160319,160017,160077,169731,165784,165024,162068,160061,164336,161134,163646,169708,161588,167130,160308,165820,169514,165631,166034,160079,164967,166341,166328,164738,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166392,166391,166382,166236,166218,166507,166091,166089,166076,166056,166055,166054,166042,164766,165974,165965,165963,166106,166107,166215,166209,166201,166171,166160,166158,166132,166131,166123,166121,166110,166108,166504,164706,166511,166843,166889,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,163603,159794,159969,161766,161927,159773,161851,163694,164371,162409,159832,161508,160536,167406,162045,160285,161710,160053,160498,161011,167860,161699,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,164336,161134,163646,169708,161588,165820,169514,165631,160079,164967,166341,164738,166310,166308,166296,166291,166287,166361,166372,166475,166441,166419,166412,166400,164733,166391,166236,166218,166507,166091,166089,166076,166056,166055,166054,166042,165974,165965,165963,166106,166107,166209,166201,166171,166160,166158,166132,166131,166123,166121,166108,164706,166843,166889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,159794,161766,161927,159773,161851,161710,160498,163990,160319,160077,169708,161588,166296,166441,164733,165965,166123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,163603,159794,161766,161927,159773,161851,163694,164371,162409,161508,162045,160285,161710,160053,160498,167860,163990,159922,166264,160418,160319,160017,160077,169731,165784,162068,160061,161134,163646,169708,161588,165820,160079,166310,166308,166296,166291,166361,166441,166412,164733,166391,166236,166507,166076,166056,166055,166042,165965,166171,166123,166121,164706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161151,161168,165599,163929,160899,162203,159794,161766,161927,159773,161851,161710,160498,163990,160319,160077,169708,161588,166296,166441,166412,164733,165965,166123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
